,_step,episode_step,tracking_error,algorithm,reward_type,run
34,237,34,0.007406793044720927,SAC,sq_error_da,fresh-fire-135
35,241,35,0.007887520037148316,SAC,sq_error_da,fresh-fire-135
36,245,36,0.008231868289066384,SAC,sq_error_da,fresh-fire-135
37,249,37,0.008414107258111553,SAC,sq_error_da,fresh-fire-135
38,253,38,0.008421358818852186,SAC,sq_error_da,fresh-fire-135
39,257,39,0.008250746946246716,SAC,sq_error_da,fresh-fire-135
40,261,40,0.007908537899824918,SAC,sq_error_da,fresh-fire-135
41,265,41,0.007409533493276266,SAC,sq_error_da,fresh-fire-135
42,269,42,0.006776165604279337,SAC,sq_error_da,fresh-fire-135
43,273,43,0.0059906303744405335,SAC,sq_error_da,fresh-fire-135
44,277,44,0.005109818972587484,SAC,sq_error_da,fresh-fire-135
45,281,45,0.0041737456400947675,SAC,sq_error_da,fresh-fire-135
46,285,46,0.0032552626388885953,SAC,sq_error_da,fresh-fire-135
47,289,47,0.0024217517347991844,SAC,sq_error_da,fresh-fire-135
48,293,48,0.0016418555554451012,SAC,sq_error_da,fresh-fire-135
49,297,49,0.0009916521927311813,SAC,sq_error_da,fresh-fire-135
50,301,50,0.0004910027561005395,SAC,sq_error_da,fresh-fire-135
51,305,51,0.00016676200411035042,SAC,sq_error_da,fresh-fire-135
52,309,52,1.7090319465705213e-05,SAC,sq_error_da,fresh-fire-135
53,313,53,2.051499174370697e-05,SAC,sq_error_da,fresh-fire-135
54,317,54,0.00016289168902886903,SAC,sq_error_da,fresh-fire-135
55,321,55,0.0004216107528067036,SAC,sq_error_da,fresh-fire-135
56,325,56,0.0007658524061172155,SAC,sq_error_da,fresh-fire-135
57,329,57,0.0011622416966673205,SAC,sq_error_da,fresh-fire-135
58,333,58,0.001561816123296254,SAC,sq_error_da,fresh-fire-135
59,337,59,0.001911650455325293,SAC,sq_error_da,fresh-fire-135
60,341,60,0.002184032876767488,SAC,sq_error_da,fresh-fire-135
61,345,61,0.0023652555108762273,SAC,sq_error_da,fresh-fire-135
62,349,62,0.002444932071665182,SAC,sq_error_da,fresh-fire-135
63,353,63,0.0024169482060511813,SAC,sq_error_da,fresh-fire-135
64,357,64,0.0022817016728982537,SAC,sq_error_da,fresh-fire-135
65,361,65,0.0020533140955239144,SAC,sq_error_da,fresh-fire-135
66,365,66,0.0017474076953273385,SAC,sq_error_da,fresh-fire-135
67,369,67,0.0013870736724297832,SAC,sq_error_da,fresh-fire-135
68,373,68,0.001007628020204966,SAC,sq_error_da,fresh-fire-135
69,377,69,0.0006351783113804603,SAC,sq_error_da,fresh-fire-135
70,381,70,0.00031127808614005365,SAC,sq_error_da,fresh-fire-135
71,385,71,8.889227780666498e-05,SAC,sq_error_da,fresh-fire-135
72,389,72,7.124625556445978e-07,SAC,sq_error_da,fresh-fire-135
73,393,73,5.9968682862190884e-05,SAC,sq_error_da,fresh-fire-135
74,397,74,0.0002721167331359355,SAC,sq_error_da,fresh-fire-135
75,401,75,0.0006421713964542795,SAC,sq_error_da,fresh-fire-135
76,405,76,0.0011497885353212237,SAC,sq_error_da,fresh-fire-135
77,409,77,0.0018187338474895645,SAC,sq_error_da,fresh-fire-135
