,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
70,fancy-sweep-130,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.7,0,{'runtime': 4},5.356222867965698,25.82480636811087,2.9269870430981957,1685895273.890612,22.897819325012676
71,classic-sweep-129,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},5.514060020446777,25.82480636811087,5.271151911406183,1685895258.005193,20.553654456704688
72,upbeat-sweep-128,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.99,0,{'runtime': 4},5.213602781295776,6.044273037905692,151.71566508285508,1685895242.5503209,-145.6713920449494
73,devoted-sweep-127,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.1,0,{'runtime': 1},1.7832260131835938,6.044273037905692,10000000000,1685895227.636766,-9999999993.955729
74,dutiful-sweep-126,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.5,0,{'runtime': 4},5.479243040084839,6.044273037905692,4.40651741779949,1685895216.232987,1.6377556201062022
75,stoic-sweep-125,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.5,0,{'runtime': 4},5.25556492805481,25.688384263139756,3.815594874768253,1685895200.08276,21.872789388371505
76,stellar-sweep-124,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.7,0,{'runtime': 4},5.463052988052368,25.82480636811087,2.543659327659201,1685895184.025999,23.28114704045167
77,different-sweep-123,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.99,0,{'runtime': 4},5.193727970123291,6.044273037905692,129.69947367064785,1685895168.779588,-123.65520063274217
78,bumbling-sweep-122,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.9,0,{'runtime': 4},5.383939027786255,6.044273037905692,7.620520720324932,1685895152.904008,-1.5762476824192395
79,rare-sweep-121,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.8,0,{'runtime': 4},5.3210930824279785,25.688384263139756,4.719219566024355,1685895136.819515,20.969164697115403
80,restful-sweep-120,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.6,0,{'runtime': 4},5.524587869644165,25.82480636811087,4.641293732853355,1685895121.699729,21.18351263525751
81,proud-sweep-119,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 5},5.5373969078063965,6.044273037905692,4.099767738274215,1685895105.514315,1.9445052996314771
