,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
64,stellar-sweep-136,IDHPDSAC,0.05,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.427474021911621,6.044273037905692,4.329969331799194,1685812594.756124,1.7143037061064987
65,dauntless-sweep-135,IDHPDSAC,0.5,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.429864883422852,6.044273037905692,11.232168244007672,1685812578.4727008,-5.18789520610198
66,rosy-sweep-134,IDHPDSAC,0.001,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.540040016174316,6.044273037905692,66.17995506585382,1685812563.398293,-60.13568202794813
67,pious-sweep-133,IDHPDSAC,0.0001,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.482614994049072,25.82480636811087,107.45147361379765,1685812547.382477,-81.62666724568676
68,atomic-sweep-132,IDHPDSAC,0.7,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.440748929977417,6.044273037905692,6.111390143660614,1685812528.132192,-0.0671171057549218
69,valiant-sweep-131,IDHPDSAC,0.0001,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.4461350440979,25.82480636811087,151.45008815733644,1685812513.294643,-125.62528178922555
70,balmy-sweep-130,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.487543106079102,25.688384263139756,3.3542627695096106,1685812497.3373382,22.334121493630143
71,glamorous-sweep-129,IDHPDSAC,0.001,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 5},6.557897090911865,25.688384263139756,25.395250076489138,1685812481.42381,0.2931341866506223
72,resilient-sweep-128,IDHPDSAC,0.9,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.549558877944946,25.82480636811087,2.7676408717906895,1685812465.491078,23.05716549632018
73,eager-sweep-127,IDHPDSAC,0.4,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 6},6.555771112442017,25.688384263139756,3.260584414855202,1685812449.544418,22.42779984828455
74,morning-sweep-126,IDHPDSAC,1e-05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},4.531795978546143,25.82480636811087,NaN,1685812437.64854,NaN
