,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
100,swept-sweep-100,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.5,6.112930059432983,25.688384263139756,3.5149786662362557,1685822554.631773,22.1734055969035,0,{'runtime': 5}
101,warm-sweep-99,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.8,6.264925003051758,25.82480636811087,5.836529640589624,1685822538.638914,19.98827672752125,0,{'runtime': 5}
102,frosty-sweep-98,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.2,6.195013046264648,25.688384263139756,4.640229788924058,1685822522.546755,21.0481544742157,0,{'runtime': 5}
103,vivid-sweep-97,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.4,6.166125059127808,25.688384263139756,5.274041432839457,1685822506.445776,20.4143428303003,0,{'runtime': 5}
104,exalted-sweep-96,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.5,0.99,6.166104078292847,25.688384263139756,195.71426606155325,1685822491.482976,-170.02588179841348,0,{'runtime': 5}
105,deft-sweep-95,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.8,6.197624921798706,25.688384263139756,5.855969283861253,1685822475.518595,19.832414979278504,0,{'runtime': 5}
106,blooming-sweep-94,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.2,0.8,6.319446086883545,25.688384263139756,5.181818209056952,1685822459.660377,20.506566054082803,0,{'runtime': 5}
107,solar-sweep-93,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.7,6.2721381187438965,25.82480636811087,3.1529890755576746,1685822443.768857,22.671817292553197,0,{'runtime': 5}
108,fast-sweep-92,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.2,6.19200587272644,25.688384263139756,3.783702319892048,1685822427.765339,21.90468194324771,0,{'runtime': 5}
109,wise-sweep-91,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.4,6.465775966644287,25.688384263139756,4.090425411686952,1685822413.210596,21.597958851452805,0,{'runtime': 5}
110,clear-sweep-90,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.2,6.300025224685669,25.688384263139756,4.599197383164095,1685822397.072693,21.08918687997566,0,{'runtime': 5}
111,solar-sweep-89,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.1,2.822895050048828,25.82480636811087,10000000000,1685822382.760051,-9999999974.175194,0,{'runtime': 2}
112,earthy-sweep-88,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.4,6.5866382122039795,6.044273037905692,4.6562224417785645,1685822370.536214,1.388050596127128,0,{'runtime': 6}
113,mild-sweep-87,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.6,6.170630931854248,6.044273037905692,9.77054363109795,1685822354.127136,-3.7262705931922584,0,{'runtime': 5}
