"train/step","dutiful-jazz-18 - _step","dutiful-jazz-18 - _step__MIN","dutiful-jazz-18 - _step__MAX","dutiful-jazz-18 - train/return","dutiful-jazz-18 - train/return__MIN","dutiful-jazz-18 - train/return__MAX","spring-monkey-16 - _step","spring-monkey-16 - _step__MIN","spring-monkey-16 - _step__MAX","spring-monkey-16 - train/return","spring-monkey-16 - train/return__MIN","spring-monkey-16 - train/return__MAX","wise-donkey-14 - _step","wise-donkey-14 - _step__MIN","wise-donkey-14 - _step__MAX","wise-donkey-14 - train/return","wise-donkey-14 - train/return__MIN","wise-donkey-14 - train/return__MAX","honest-fog-12 - _step","honest-fog-12 - _step__MIN","honest-fog-12 - _step__MAX","honest-fog-12 - train/return","honest-fog-12 - train/return__MIN","honest-fog-12 - train/return__MAX","sage-vortex-11 - _step","sage-vortex-11 - _step__MIN","sage-vortex-11 - _step__MAX","sage-vortex-11 - train/return","sage-vortex-11 - train/return__MIN","sage-vortex-11 - train/return__MAX"
"35999","35","35","35","-125.9977373523126","-125.9977373523126","-125.9977373523126","35","35","35","-248.85539188037055","-248.85539188037055","-248.85539188037055","35","35","35","-121.9318991816666","-121.9318991816666","-121.9318991816666","35","35","35","-130.89302223532488","-130.89302223532488","-130.89302223532488","35","35","35","-123.47742434867915","-123.47742434867915","-123.47742434867915"
"36999","36","36","36","-122.44410613394506","-122.44410613394506","-122.44410613394506","36","36","36","-123.97351568284256","-123.97351568284256","-123.97351568284256","36","36","36","-124.4904773824813","-124.4904773824813","-124.4904773824813","36","36","36","-128.92976032020505","-128.92976032020505","-128.92976032020505","36","36","36","-123.83409506919202","-123.83409506919202","-123.83409506919202"
"37999","37","37","37","-125.93590405423737","-125.93590405423737","-125.93590405423737","37","37","37","-233.62927661605696","-233.62927661605696","-233.62927661605696","37","37","37","-5.964854456027917","-5.964854456027917","-5.964854456027917","37","37","37","-257.3777276863167","-257.3777276863167","-257.3777276863167","37","37","37","-125.59040781599293","-125.59040781599293","-125.59040781599293"
"38999","38","38","38","-6.553405893434654","-6.553405893434654","-6.553405893434654","38","38","38","-226.34616944183588","-226.34616944183588","-226.34616944183588","38","38","38","-124.97292874127683","-124.97292874127683","-124.97292874127683","38","38","38","-9.922294444263455","-9.922294444263455","-9.922294444263455","38","38","38","-122.51228127027302","-122.51228127027302","-122.51228127027302"
"39999","39","39","39","-129.57618007200685","-129.57618007200685","-129.57618007200685","39","39","39","-242.52770318173808","-242.52770318173808","-242.52770318173808","39","39","39","-8.602364279800806","-8.602364279800806","-8.602364279800806","39","39","39","-132.2620185556435","-132.2620185556435","-132.2620185556435","39","39","39","-241.9933950693056","-241.9933950693056","-241.9933950693056"
"40999","40","40","40","-130.3403374455173","-130.3403374455173","-130.3403374455173","40","40","40","-5.43470757310397","-5.43470757310397","-5.43470757310397","40","40","40","-132.47890637500947","-132.47890637500947","-132.47890637500947","40","40","40","-129.33896941729523","-129.33896941729523","-129.33896941729523","40","40","40","-128.09002725589966","-128.09002725589966","-128.09002725589966"
"41999","41","41","41","-129.41418871287894","-129.41418871287894","-129.41418871287894","41","41","41","-242.22123325181596","-242.22123325181596","-242.22123325181596","41","41","41","-126.99553848006822","-126.99553848006822","-126.99553848006822","41","41","41","-236.09769298429023","-236.09769298429023","-236.09769298429023","41","41","41","-127.11595854657715","-127.11595854657715","-127.11595854657715"
"42999","42","42","42","-129.74444869377328","-129.74444869377328","-129.74444869377328","42","42","42","-263.6307162502449","-263.6307162502449","-263.6307162502449","42","42","42","-126.19313846805224","-126.19313846805224","-126.19313846805224","42","42","42","-5.053045580022318","-5.053045580022318","-5.053045580022318","42","42","42","-352.6556440444909","-352.6556440444909","-352.6556440444909"
"43999","43","43","43","-123.85455044986652","-123.85455044986652","-123.85455044986652","43","43","43","-133.15611336891735","-133.15611336891735","-133.15611336891735","43","43","43","-235.2743809740142","-235.2743809740142","-235.2743809740142","43","43","43","-123.19421911059031","-123.19421911059031","-123.19421911059031","43","43","43","-120.77456384870074","-120.77456384870074","-120.77456384870074"
"44999","44","44","44","-124.25046823153413","-124.25046823153413","-124.25046823153413","44","44","44","-365.49862136101973","-365.49862136101973","-365.49862136101973","44","44","44","-122.16849298742743","-122.16849298742743","-122.16849298742743","44","44","44","-5.965950232905522","-5.965950232905522","-5.965950232905522","44","44","44","-121.90803147242264","-121.90803147242264","-121.90803147242264"
"45999","45","45","45","-242.78212952252935","-242.78212952252935","-242.78212952252935","45","45","45","-377.7668368044243","-377.7668368044243","-377.7668368044243","45","45","45","-344.1647546217253","-344.1647546217253","-344.1647546217253","45","45","45","-129.8461712471353","-129.8461712471353","-129.8461712471353","45","45","45","-125.55509990526147","-125.55509990526147","-125.55509990526147"
"46999","46","46","46","-126.77342726251811","-126.77342726251811","-126.77342726251811","46","46","46","-248.66567560602724","-248.66567560602724","-248.66567560602724","46","46","46","-6.508718814715401","-6.508718814715401","-6.508718814715401","46","46","46","-125.2314244371174","-125.2314244371174","-125.2314244371174","46","46","46","-131.68715497931495","-131.68715497931495","-131.68715497931495"
"47999","47","47","47","-348.0571555624431","-348.0571555624431","-348.0571555624431","47","47","47","-239.27033314505326","-239.27033314505326","-239.27033314505326","47","47","47","-133.39014169557183","-133.39014169557183","-133.39014169557183","47","47","47","-125.56023164223144","-125.56023164223144","-125.56023164223144","47","47","47","-7.431134979108228","-7.431134979108228","-7.431134979108228"
"48999","48","48","48","-245.17697773910785","-245.17697773910785","-245.17697773910785","48","48","48","-128.17030649786108","-128.17030649786108","-128.17030649786108","48","48","48","-128.36499619093746","-128.36499619093746","-128.36499619093746","48","48","48","-135.468995719013","-135.468995719013","-135.468995719013","48","48","48","-126.3463310614224","-126.3463310614224","-126.3463310614224"
"49999","49","49","49","-128.83726214070114","-128.83726214070114","-128.83726214070114","49","49","49","-256.700645167584","-256.700645167584","-256.700645167584","49","49","49","-129.2331635857096","-129.2331635857096","-129.2331635857096","49","49","49","-134.613184922424","-134.613184922424","-134.613184922424","49","49","49","-123.81530769728914","-123.81530769728914","-123.81530769728914"
"50999","50","50","50","-132.79052052023178","-132.79052052023178","-132.79052052023178","50","50","50","-350.21585677679786","-350.21585677679786","-350.21585677679786","50","50","50","-121.35686066643751","-121.35686066643751","-121.35686066643751","50","50","50","-135.2655225514413","-135.2655225514413","-135.2655225514413","50","50","50","-4.977372167622551","-4.977372167622551","-4.977372167622551"
"51999","51","51","51","-251.85296443862967","-251.85296443862967","-251.85296443862967","51","51","51","-240.50170916295235","-240.50170916295235","-240.50170916295235","51","51","51","-239.04925241539303","-239.04925241539303","-239.04925241539303","51","51","51","-5.117235592367539","-5.117235592367539","-5.117235592367539","51","51","51","-4.889023658079484","-4.889023658079484","-4.889023658079484"
"52999","52","52","52","-130.3525182080632","-130.3525182080632","-130.3525182080632","52","52","52","-121.03835676650752","-121.03835676650752","-121.03835676650752","52","52","52","-125.00983072404419","-125.00983072404419","-125.00983072404419","52","52","52","-126.11363558493545","-126.11363558493545","-126.11363558493545","52","52","52","-129.55993391525817","-129.55993391525817","-129.55993391525817"
"53999","53","53","53","-242.26537814629395","-242.26537814629395","-242.26537814629395","53","53","53","-126.4401388071782","-126.4401388071782","-126.4401388071782","53","53","53","-123.80655892043939","-123.80655892043939","-123.80655892043939","53","53","53","-131.7360366542342","-131.7360366542342","-131.7360366542342","53","53","53","-241.82093827212833","-241.82093827212833","-241.82093827212833"
"54999","54","54","54","-122.03831755812845","-122.03831755812845","-122.03831755812845","54","54","54","-126.0416529326493","-126.0416529326493","-126.0416529326493","54","54","54","-253.84488582817096","-253.84488582817096","-253.84488582817096","54","54","54","-129.92175669659753","-129.92175669659753","-129.92175669659753","54","54","54","-236.96842228927238","-236.96842228927238","-236.96842228927238"
"55999","55","55","55","-129.87551151563756","-129.87551151563756","-129.87551151563756","55","55","55","-129.02052504361205","-129.02052504361205","-129.02052504361205","55","55","55","-127.61531720583977","-127.61531720583977","-127.61531720583977","55","55","55","-132.02566060726525","-132.02566060726525","-132.02566060726525","55","55","55","-291.21348706215633","-291.21348706215633","-291.21348706215633"
"56999","56","56","56","-129.21261857820278","-129.21261857820278","-129.21261857820278","56","56","56","-314.24538850949057","-314.24538850949057","-314.24538850949057","56","56","56","-121.76353717472885","-121.76353717472885","-121.76353717472885","56","56","56","-124.64242593503532","-124.64242593503532","-124.64242593503532","56","56","56","-235.39583502774056","-235.39583502774056","-235.39583502774056"
"57999","57","57","57","-124.11647038295273","-124.11647038295273","-124.11647038295273","57","57","57","-8.756593463227375","-8.756593463227375","-8.756593463227375","57","57","57","-129.71491640825838","-129.71491640825838","-129.71491640825838","57","57","57","-127.67433574374836","-127.67433574374836","-127.67433574374836","57","57","57","-128.5682342951612","-128.5682342951612","-128.5682342951612"
"58999","58","58","58","-7.1450482171734535","-7.1450482171734535","-7.1450482171734535","58","58","58","-351.5519230923409","-351.5519230923409","-351.5519230923409","58","58","58","-127.71618685488367","-127.71618685488367","-127.71618685488367","58","58","58","-240.9117310222866","-240.9117310222866","-240.9117310222866","58","58","58","-126.72615593153584","-126.72615593153584","-126.72615593153584"
"59999","59","59","59","-350.5222439167684","-350.5222439167684","-350.5222439167684","59","59","59","-133.58089356300252","-133.58089356300252","-133.58089356300252","59","59","59","-126.84450999156724","-126.84450999156724","-126.84450999156724","59","59","59","-237.87074350059197","-237.87074350059197","-237.87074350059197","59","59","59","-128.94801413442474","-128.94801413442474","-128.94801413442474"
"60999","60","60","60","-126.4307039775797","-126.4307039775797","-126.4307039775797","60","60","60","-134.04093920215962","-134.04093920215962","-134.04093920215962","60","60","60","-133.1527467521661","-133.1527467521661","-133.1527467521661","60","60","60","-122.48739055680832","-122.48739055680832","-122.48739055680832","60","60","60","-4.788670879276879","-4.788670879276879","-4.788670879276879"
"61999","61","61","61","-246.0801628389748","-246.0801628389748","-246.0801628389748","61","61","61","-236.0822658207435","-236.0822658207435","-236.0822658207435","61","61","61","-128.2129383541395","-128.2129383541395","-128.2129383541395","61","61","61","-235.44610356353655","-235.44610356353655","-235.44610356353655","61","61","61","-338.48284651561875","-338.48284651561875","-338.48284651561875"
"62999","62","62","62","-131.01615655491938","-131.01615655491938","-131.01615655491938","62","62","62","-125.92661862291948","-125.92661862291948","-125.92661862291948","62","62","62","-249.5475603659086","-249.5475603659086","-249.5475603659086","62","62","62","-244.37031896704136","-244.37031896704136","-244.37031896704136","62","62","62","-4.404823142837728","-4.404823142837728","-4.404823142837728"
"63999","63","63","63","-130.7132608779672","-130.7132608779672","-130.7132608779672","63","63","63","-235.89480638885672","-235.89480638885672","-235.89480638885672","63","63","63","-136.18380475260727","-136.18380475260727","-136.18380475260727","63","63","63","-7.1346407657665","-7.1346407657665","-7.1346407657665","63","63","63","-255.66603630823897","-255.66603630823897","-255.66603630823897"
