,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp
51,drawn-sweep-149,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.9,0.3,8.614407580497154,0,{'runtime': 5},6.354825019836426,14.965543983462323,6.351136402965168,1685889577.009336
52,sweet-sweep-148,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.9,0.7,7.54391464479257,0,{'runtime': 5},6.327218055725098,14.965543983462323,7.421629338669754,1685889561.005497
53,vibrant-sweep-147,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.1,0.2,10.856759163194647,0,{'runtime': 5},6.362218141555786,16.011297433609993,5.154538270415346,1685889544.939382
54,bright-sweep-146,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.9,11.27627324571328,0,{'runtime': 5},6.283941030502319,20.585377984797297,9.309104739084017,1685889528.787612
55,gentle-sweep-145,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.5,0.2,11.264014766875675,0,{'runtime': 5},6.508962154388428,16.011297433609993,4.747282666734316,1685889513.981996
56,hearty-sweep-144,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.5,0.1,-9999999983.988705,0,{'runtime': 3},3.557750940322876,16.011297433609993,10000000000,1685889500.081892
57,magic-sweep-143,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.99,-160.4011937397907,0,{'runtime': 5},6.366523027420044,16.011297433609993,176.4124911734007,1685889487.948714
58,trim-sweep-142,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.1,-9999999979.41462,0,{'runtime': 2},2.850766897201538,20.585377984797297,10000000000,1685889473.413384
59,swift-sweep-141,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.3,0.6,7.432737582745435,0,{'runtime': 5},6.516697883605957,16.011297433609993,8.578559850864558,1685889458.729141
60,copper-sweep-140,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.4,14.129387351632836,0,{'runtime': 5},6.282238960266113,20.585377984797297,6.455990633164461,1685889439.921234
61,young-sweep-139,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.2,0.8,12.430155815686446,0,{'runtime': 5},6.270889043807983,20.585377984797297,8.155222169110852,1685889423.9057732
62,jumping-sweep-138,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.99,-154.1643317008479,0,{'runtime': 5},6.3939878940582275,14.965543983462323,169.1298756843102,1685889407.970037
63,splendid-sweep-137,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.7,8.364615175952764,0,{'runtime': 5},6.249063014984131,14.965543983462323,6.600928807509559,1685889391.678323
64,worthy-sweep-136,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.3,10.390644588399152,0,{'runtime': 5},6.380358934402466,16.011297433609993,5.620652845210841,1685889375.76543
65,ethereal-sweep-135,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.99,-58.277854279172146,0,{'runtime': 5},6.2395710945129395,14.965543983462323,73.24339826263447,1685889360.702242
66,classic-sweep-134,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.5,0.5,9.535100859922467,0,{'runtime': 5},6.253434896469116,20.585377984797297,11.05027712487483,1685889345.569515
67,glad-sweep-133,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.1,-9999999979.41462,0,{'runtime': 2},3.14711594581604,20.585377984797297,10000000000,1685889331.425617
68,distinctive-sweep-132,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.7,7.285162248199963,0,{'runtime': 5},6.402369976043701,16.011297433609993,8.72613518541003,1685889318.700993
69,fine-sweep-131,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.2,10.510474735827549,0,{'runtime': 5},6.266599893569946,20.585377984797297,10.074903248969749,1685889302.5051808
70,vague-sweep-130,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.4,7.828585011275364,0,{'runtime': 5},6.689977169036865,14.965543983462323,7.136958972186959,1685889286.9961631
71,desert-sweep-129,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.6,8.700318134742474,0,{'runtime': 5},6.374477863311768,16.011297433609993,7.310979298867519,1685889270.666705
72,valiant-sweep-128,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.5,9.496258782958993,0,{'runtime': 5},6.462440252304077,14.965543983462323,5.4692852005033314,1685889255.770264
73,honest-sweep-127,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.4,12.64469020589612,0,{'runtime': 5},6.300015211105347,16.011297433609993,3.3666072277138746,1685889239.565004
74,twilight-sweep-126,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.2,0.4,9.502206413178746,0,{'runtime': 5},6.3111350536346436,14.965543983462323,5.463337570283578,1685889223.526658
75,polar-sweep-125,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.7,7.988360037257109,0,{'runtime': 5},6.342570066452026,14.965543983462323,6.977183946205214,1685889208.476506
76,morning-sweep-124,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.99,0.7,8.409885172911862,0,{'runtime': 5},6.381929874420166,16.011297433609993,7.601412260698131,1685889192.48183
77,swept-sweep-123,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.9,0.9,11.932060847308488,0,{'runtime': 5},6.2740478515625,20.585377984797297,8.65331713748881,1685889176.324447
78,dashing-sweep-122,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.9,11.353021572248355,0,{'runtime': 5},6.282892942428589,20.585377984797297,9.232356412548942,1685889160.327415
79,jumping-sweep-121,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.99,NaN,0,{'runtime': 4},5.026319980621338,14.965543983462323,NaN,1685889143.968917
80,smart-sweep-120,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.99,-143.95306719018126,0,{'runtime': 5},6.3305768966674805,20.585377984797297,164.53844517497856,1685889129.1269948
81,good-sweep-119,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.8,11.781530094554723,0,{'runtime': 5},6.286014080047607,20.585377984797297,8.803847890242574,1685889113.937441
82,dandy-sweep-118,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.9,11.220528482878398,0,{'runtime': 5},6.32872200012207,20.585377984797297,9.3648495019189,1685889097.885897
83,usual-sweep-117,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.4,0.9,8.290366174544467,0,{'runtime': 5},6.33923602104187,16.011297433609993,7.720931259065528,1685889081.834105
84,kind-sweep-116,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.5,9.327529530054276,0,{'runtime': 5},6.292859077453613,14.965543983462323,5.638014453408047,1685889065.769634
85,brisk-sweep-115,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.99,NaN,0,{'runtime': 4},4.574538946151733,14.965543983462323,NaN,1685889048.821905
86,sleek-sweep-114,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.99,0.3,12.799795954625754,0,{'runtime': 5},6.315723896026611,20.585377984797297,7.785582030171542,1685889034.469308
87,fanciful-sweep-113,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.7,8.978928033825106,0,{'runtime': 5},6.243693828582764,14.965543983462323,5.986615949637216,1685889019.2981389
88,scarlet-sweep-112,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.9,9.329850378752324,0,{'runtime': 5},6.4799840450286865,20.585377984797297,11.255527606044971,1685889003.493963
89,true-sweep-111,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.4,9.497244109046392,0,{'runtime': 5},6.3854820728302,14.965543983462323,5.468299874415932,1685888987.381978
90,wandering-sweep-110,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.5,0.2,11.49647022688886,0,{'runtime': 5},6.240415096282959,20.585377984797297,9.088907757908435,1685888971.10182
91,fearless-sweep-109,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.5,0.2,8.718732436481753,0,{'runtime': 5},6.281596899032593,14.965543983462323,6.24681154698057,1685888956.074993
92,sage-sweep-108,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.99,0.2,4.721333301140588,0,{'runtime': 5},6.326412916183472,14.965543983462323,10.244210682321736,1685888940.0519528
93,different-sweep-107,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.9,0.5,10.186304617522458,0,{'runtime': 5},6.418371915817261,20.585377984797297,10.39907336727484,1685888924.094364
94,dainty-sweep-106,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.1,0.2,9.32340108845493,0,{'runtime': 5},6.354461193084717,14.965543983462323,5.642142895007394,1685888909.0520802
95,azure-sweep-105,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.5,3.640718904893951,0,{'runtime': 5},6.312450170516968,20.585377984797297,16.944659079903346,1685888892.955064
