,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae
68,rosy-sweep-132,IDHPDSAC,0.001,0.7,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807854.965246,-9999999974.175194,0,{'runtime': 1},1.8243210315704343,25.82480636811087
69,royal-sweep-131,IDHPDSAC,0.6,0.8,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807843.996887,-9999999974.175194,0,{'runtime': 0},1.283254861831665,25.82480636811087
70,crimson-sweep-130,IDHPDSAC,0.0001,0.6,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807833.635365,-9999999993.955729,0,{'runtime': 0},1.3548729419708252,6.044273037905692
71,wobbly-sweep-129,IDHPDSAC,5e-05,0.0005,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,NaN,1685807825.356169,NaN,0,{'runtime': 3},4.0295610427856445,25.82480636811087
72,misty-sweep-128,IDHPDSAC,0.5,0.05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,2.5921649869489376,1685807811.029728,23.09621927619082,0,{'runtime': 5},5.597455024719238,25.688384263139756
73,treasured-sweep-127,IDHPDSAC,1e-05,0.0001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,NaN,1685807796.9747689,NaN,0,{'runtime': 3},8.995731830596924,25.82480636811087
74,true-sweep-126,IDHPDSAC,0.5,1e-05,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,4.0907072560317035,1685807777.553474,21.734099112079168,0,{'runtime': 5},5.712115049362183,25.82480636811087
75,fiery-sweep-125,IDHPDSAC,0.7,0.005,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,24.26786761355617,1685807759.5110762,1.420516649583586,0,{'runtime': 5},5.8695151805877686,25.688384263139756
76,stellar-sweep-124,IDHPDSAC,0.001,0.3,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807746.858666,-9999999993.955729,0,{'runtime': 3},4.399240016937256,6.044273037905692
77,dutiful-sweep-123,IDHPDSAC,0.001,0.01,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,43.02715912090919,1685807733.051126,-36.9828860830035,0,{'runtime': 5},5.764542102813721,6.044273037905692
78,sparkling-sweep-122,IDHPDSAC,0.05,0.05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,4.801616628593991,1685807717.232255,20.88676763454577,0,{'runtime': 5},6.231616020202637,25.688384263139756
79,fancy-sweep-121,IDHPDSAC,0.8,0.6,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807697.14578,-9999999974.175194,0,{'runtime': 0},1.3793561458587646,25.82480636811087
80,cosmic-sweep-120,IDHPDSAC,0.6,0.9,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807685.75239,-9999999974.311617,0,{'runtime': 0},1.329164981842041,25.688384263139756
81,major-sweep-119,IDHPDSAC,0.05,0.4,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,4.475266224389581,1685807673.85022,21.34954014372129,0,{'runtime': 4},5.487628936767578,25.82480636811087
82,hardy-sweep-118,IDHPDSAC,0.3,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,4.381893861891011,1685807658.6273658,21.44291250621986,0,{'runtime': 4},5.377306938171387,25.82480636811087
83,clear-sweep-117,IDHPDSAC,1e-05,0.0001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,NaN,1685807645.7162151,NaN,0,{'runtime': 2},3.5202901363372803,6.044273037905692
84,glowing-sweep-116,IDHPDSAC,0.6,5e-05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,3.686904977011896,1685807632.356538,22.00147928612786,0,{'runtime': 4},5.068177938461304,25.688384263139756
85,blooming-sweep-115,IDHPDSAC,0.3,1e-05,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,4.611518514470148,1685807616.354962,21.21328785364072,0,{'runtime': 4},5.103527784347534,25.82480636811087
86,ethereal-sweep-114,IDHPDSAC,0.9,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,28.91347408311649,1685807600.397902,-3.08866771500562,0,{'runtime': 4},5.3108179569244385,25.82480636811087
87,lemon-sweep-113,IDHPDSAC,0.01,0.1,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,13.20384807486302,1685807585.082111,12.484536188276737,0,{'runtime': 4},5.104421854019165,25.688384263139756
88,vivid-sweep-112,IDHPDSAC,0.005,0.05,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,19.295545681901384,1685807569.222263,-13.25127264399569,0,{'runtime': 4},5.1462461948394775,6.044273037905692
89,hardy-sweep-111,IDHPDSAC,0.0001,0.1,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,57.30667192406048,1685807553.2281458,-51.26239888615479,0,{'runtime': 4},5.231433868408203,6.044273037905692
90,sandy-sweep-110,IDHPDSAC,0.5,0.8,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807538.791393,-9999999993.955729,0,{'runtime': 0},1.4061601161956787,6.044273037905692
91,cosmic-sweep-109,IDHPDSAC,0.005,0.4,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,7.153717519679649,1685807528.131724,18.67108884843122,0,{'runtime': 5},5.66094708442688,25.82480636811087
92,worldly-sweep-108,IDHPDSAC,0.0001,0.3,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807514.216089,-9999999974.311617,0,{'runtime': 2},2.6921350955963135,25.688384263139756
93,divine-sweep-107,IDHPDSAC,0.1,0.0001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,5.162725715448753,1685807500.813526,20.66208065266212,0,{'runtime': 4},5.209437847137451,25.82480636811087
94,polished-sweep-106,IDHPDSAC,0.7,0.0005,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,8.828914646483693,1685807485.0807412,-2.784641608578,0,{'runtime': 4},5.355561256408691,6.044273037905692
95,magic-sweep-105,IDHPDSAC,0.4,0.3,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807471.219628,-9999999974.175194,0,{'runtime': 1},1.764326095581055,25.82480636811087
96,gallant-sweep-104,IDHPDSAC,0.3,0.8,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807460.091086,-9999999974.175194,0,{'runtime': 0},1.29938006401062,25.82480636811087
97,sunny-sweep-103,IDHPDSAC,0.8,5e-05,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,2.721321753737108,1685807448.367779,23.10348461437376,0,{'runtime': 4},5.4484100341796875,25.82480636811087
98,cool-sweep-102,IDHPDSAC,0.9,0.2,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,52.35925253728597,1685807432.534301,-26.670868274146212,0,{'runtime': 4},5.480787038803101,25.688384263139756
99,dry-sweep-101,IDHPDSAC,1e-05,1e-05,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,720.5269065233803,1685807416.7797709,-714.4826334854746,0,{'runtime': 5},5.705545902252197,6.044273037905692
100,deep-sweep-100,IDHPDSAC,0.8,0.1,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,15.3853491638556,1685807401.710268,10.439457204255271,0,{'runtime': 5},5.585081100463867,25.82480636811087
101,valiant-sweep-99,IDHPDSAC,0.01,0.6,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,7.015123879837002,1685807385.617623,18.67326038330275,0,{'runtime': 5},5.57217001914978,25.688384263139756
102,effortless-sweep-98,IDHPDSAC,0.8,0.4,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807371.15473,-9999999993.955729,0,{'runtime': 1},1.4995331764221191,6.044273037905692
103,rural-sweep-97,IDHPDSAC,0.001,5e-05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,25.2256682224972,1685807359.284868,0.4627160406425581,0,{'runtime': 5},5.6009790897369385,25.688384263139756
104,sweet-sweep-96,IDHPDSAC,0.001,0.5,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807343.903063,-9999999993.955729,0,{'runtime': 0},1.347856044769287,6.044273037905692
105,worldly-sweep-95,IDHPDSAC,1e-05,0.005,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,139.54377277386484,1685807332.748019,-133.49949973595915,0,{'runtime': 4},5.110018968582153,6.044273037905692
106,cosmic-sweep-94,IDHPDSAC,0.5,0.2,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807320.619444,-9999999974.175194,0,{'runtime': 3},3.792868852615357,25.82480636811087
107,fine-sweep-93,IDHPDSAC,1e-05,0.7,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807307.0973902,-9999999993.955729,0,{'runtime': 0},1.3764901161193848,6.044273037905692
108,giddy-sweep-92,IDHPDSAC,0.1,0.6,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,4.726890775074102,1685807295.1439822,20.961493488065656,0,{'runtime': 4},5.244749069213867,25.688384263139756
109,fragrant-sweep-91,IDHPDSAC,0.001,0.05,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,19.839475241535464,1685807279.219756,5.985331126575407,0,{'runtime': 4},5.276471138000488,25.82480636811087
110,kind-sweep-90,IDHPDSAC,0.4,5e-05,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,12.716598463496714,1685807264.497424,-6.672325425591022,0,{'runtime': 4},5.471275806427002,6.044273037905692
111,tough-sweep-89,IDHPDSAC,0.9,0.005,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,3.3086193972578033,1685807248.420635,22.516186970853067,0,{'runtime': 4},5.562716007232666,25.82480636811087
112,laced-sweep-88,IDHPDSAC,0.005,0.9,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807233.955911,-9999999974.175194,0,{'runtime': 1},1.6005818843841553,25.82480636811087
113,atomic-sweep-87,IDHPDSAC,0.9,0.7,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685807223.287462,-9999999993.955729,0,{'runtime': 0},1.3296160697937012,6.044273037905692
114,sunny-sweep-86,IDHPDSAC,1e-05,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,NaN,1685807214.693943,NaN,0,{'runtime': 3},3.83955192565918,25.82480636811087
