,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae
62,chocolate-sweep-138,IDHPSAC,0.9,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809441.8176131,16.078274706615435,0.0,{'runtime': 5},6.301325082778931,20.585377984797297,4.507103278181862
63,winter-sweep-137,IDHPSAC,5e-05,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809426.00983,-13.2057638189577,0.0,{'runtime': 5},6.4251930713653564,20.585377984797297,33.791141803754996
64,dutiful-sweep-136,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809410.128101,15.621411051418615,0.0,{'runtime': 6},6.564438104629517,20.585377984797297,4.96396693337868
65,fancy-sweep-135,IDHPSAC,0.0005,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809394.6389298,-20.1650887426062,0.0,{'runtime': 5},6.13549280166626,14.965543983462323,35.13063272606853
66,comic-sweep-134,IDHPSAC,1e-05,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809378.713454,-28.47854658566864,0.0,{'runtime': 5},6.187762022018433,14.965543983462323,43.44409056913096
67,drawn-sweep-133,IDHPSAC,1e-05,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809362.9115598,-106.32630243802924,0.0,{'runtime': 5},6.562339782714844,16.011297433609993,122.33759987163924
68,zesty-sweep-132,IDHPSAC,0.7,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809347.544817,14.83542055252732,0.0,{'runtime': 5},6.140850067138672,20.585377984797297,5.7499574322699765
69,devoted-sweep-131,IDHPSAC,0.9,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809331.534124,15.755804313621203,0.0,{'runtime': 5},6.164849042892456,20.585377984797297,4.8295736711760915
70,bright-sweep-130,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809315.4687512,7.302028652819317,0.0,{'runtime': 5},6.15408730506897,16.011297433609993,8.709268780790676
71,absurd-sweep-129,IDHPSAC,1e-05,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809299.304001,-28.52741823193093,0.0,{'runtime': 5},6.073808193206787,14.965543983462323,43.492962215393256
72,resilient-sweep-128,IDHPSAC,0.3,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809284.4672918,11.464143169598165,0.0,{'runtime': 5},6.38409686088562,14.965543983462323,3.501400813864159
