,name,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
113,sunny-sweep-87,0.0005,0.9,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.0009329319000244,20.585377984797297,10000000000.0,1685774750.397234,-9999999979.41462
114,dark-sweep-86,0.05,1e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.032932043075562,14.965543983462323,6.957373643757474,1685774735.743625,8.00817033970485
115,stilted-sweep-85,0.1,0.3,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},2.442004919052124,14.965543983462323,10000000000.0,1685774718.487988,-9999999985.034456
116,firm-sweep-84,0.2,0.01,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},8.957364082336426,16.011297433609993,5.930769978089679,1685774703.2947772,10.080527455520317
117,apricot-sweep-83,0.2,5e-05,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.068670988082886,16.011297433609993,7.425471052743053,1685774682.612839,8.58582638086694
118,dark-sweep-82,1e-05,5e-05,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.058491945266724,14.965543983462323,43.37401652364965,1685774661.991595,-28.40847254018732
119,clear-sweep-81,0.01,0.1,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.136214017868042,16.011297433609993,11.090902048656604,1685774641.422066,4.920395384953389
120,daily-sweep-80,0.8,0.8,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.828118085861206,16.011297433609993,10000000000.0,1685774623.35275,-9999999983.988705
121,helpful-sweep-79,0.5,0.5,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 1},1.8951408863067627,16.011297433609993,10000000000.0,1685774612.719209,-9999999983.988705
122,hearty-sweep-78,0.7,0.005,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 8},9.11379599571228,14.965543983462323,5.2125279543358,1685774598.917314,9.753016029126524
